Date,Close,Volume,Open,High,Low
2/14/19,"$1,622.65 ",4106555,"$1,624.50 ","$1,637.90 ","$1,606.06 "
2/13/19,"$1,640 ",3545096,"$1,647 ","$1,656.38 ","$1,637.11 "
2/12/19,"$1,638.01 ",4830487,"$1,604 ","$1,639.40 ","$1,598.88 "
2/11/19,"$1,591 ",3301240,"$1,600.98 ","$1,609.29 ","$1,586 "
2/8/19,"$1,588.22 ",5649888,"$1,586 ","$1,588.59 ","$1,566.76 "
2/7/19,"$1,614.37 ",4605293,"$1,625 ","$1,625.54 ","$1,592.91 "
2/6/19,"$1,640.26 ",3930870,"$1,670.75 ","$1,672.26 ","$1,633.34 "
2/5/19,"$1,658.81 ",4443632,"$1,643.34 ","$1,665.26 ","$1,642.50 "
2/4/19,"$1,633.31 ",4911319,"$1,623 ","$1,649.63 ","$1,613.50 "
2/1/19,"$1,626.23 ",11484130,"$1,638.88 ","$1,673.06 ","$1,622.01 "
1/31/19,"$1,718.73 ",10304330,"$1,692.85 ","$1,736.41 ","$1,679.08 "
1/30/19,"$1,670.43 ",5717042,"$1,623 ","$1,676.95 ","$1,619.68 "
1/29/19,"$1,593.88 ",4591586,"$1,631.27 ","$1,632.38 ","$1,590.72 "
1/28/19,"$1,637.89 ",4807564,"$1,643.59 ","$1,645 ","$1,614.09 "
1/25/19,"$1,670.57 ",4933434,"$1,670.50 ","$1,683.48 ","$1,661.61 "
1/24/19,"$1,654.93 ",4077737,"$1,641.07 ","$1,657.26 ","$1,631.78 "
1/23/19,"$1,640.02 ",5192420,"$1,656 ","$1,657.43 ","$1,612 "
1/22/19,"$1,632.17 ",6402655,"$1,681 ","$1,681.87 ","$1,610.20 "
1/18/19,"$1,696.20 ",5973318,"$1,712 ","$1,716.20 ","$1,691.54 "
1/17/19,"$1,693.22 ",4179836,"$1,680 ","$1,700.17 ","$1,677.50 "
1/16/19,"$1,683.78 ",6343614,"$1,684.22 ","$1,705 ","$1,675.88 "
1/15/19,"$1,674.56 ",5964298,"$1,632 ","$1,675.16 ","$1,626.01 "
1/14/19,"$1,617.21 ",5989299,"$1,615 ","$1,648.20 ","$1,595.15 "
1/11/19,"$1,640.56 ",4670093,"$1,640.55 ","$1,660.29 ","$1,636.22 "
1/10/19,"$1,656.22 ",6487252,"$1,641.01 ","$1,663.25 ","$1,621.62 "
1/9/19,"$1,659.42 ",6333528,"$1,652.98 ","$1,667.80 ","$1,641.40 "
1/8/19,"$1,656.58 ",8830753,"$1,664.69 ","$1,676.61 ","$1,616.61 "
1/7/19,"$1,629.51 ",7971720,"$1,602.31 ","$1,634.56 ","$1,589.19 "
1/4/19,"$1,575.39 ",9161701,"$1,530 ","$1,594 ","$1,518.31 "
1/3/19,"$1,500.28 ",6934218,"$1,520.01 ","$1,538 ","$1,497.11 "
1/2/19,"$1,539.13 ",7871967,"$1,465.20 ","$1,553.36 ","$1,460.93 "
12/31/18,"$1,501.97 ",6941598,"$1,510.80 ","$1,520.76 ","$1,487 "
12/28/18,"$1,478.02 ",8822598,"$1,473.35 ","$1,513.47 ","$1,449 "
12/27/18,"$1,461.64 ",9631228,"$1,454.20 ","$1,469 ","$1,390.31 "
12/26/18,"$1,470.90 ",10332870,"$1,368.89 ","$1,473.16 ","$1,363.01 "
12/24/18,"$1,343.96 ",7219996,"$1,346 ","$1,396.03 ","$1,307 "
12/21/18,"$1,377.45 ",13556470,"$1,464.99 ","$1,480 ","$1,363.96 "
12/20/18,"$1,460.83 ",9912659,"$1,484 ","$1,509.50 ","$1,432.69 "
12/19/18,"$1,495.08 ",8624401,"$1,543.05 ","$1,584.53 ","$1,483.18 "
12/18/18,"$1,551.48 ",6468073,"$1,540 ","$1,567.55 ","$1,523.01 "
12/17/18,"$1,520.91 ",8729020,"$1,566 ","$1,576.13 ","$1,505.01 "
12/14/18,"$1,591.91 ",6347659,"$1,638 ","$1,642.57 ","$1,585 "
12/13/18,"$1,658.38 ",5249043,"$1,680 ","$1,692.12 ","$1,641.50 "
12/12/18,"$1,663.54 ",6581356,"$1,669 ","$1,704.99 ","$1,660.27 "
12/11/18,"$1,643.24 ",6217833,"$1,678 ","$1,679.47 ","$1,619.60 "
12/10/18,"$1,641.03 ",7467159,"$1,623.84 ","$1,657.99 ","$1,590.87 "
12/7/18,"$1,629.13 ",7508939,"$1,705.07 ","$1,718.93 ","$1,625.46 "
12/6/18,"$1,699.19 ",8701197,"$1,614.87 ","$1,701.05 ","$1,609.85 "
12/4/18,"$1,668.40 ",8653416,"$1,756 ","$1,770.34 ","$1,665 "
12/3/18,"$1,772.36 ",6840412,"$1,769.46 ","$1,778.34 ","$1,730 "
11/30/18,"$1,690.17 ",5744168,"$1,679.50 ","$1,696 ","$1,666.50 "
11/29/18,"$1,673.57 ",6600424,"$1,674.99 ","$1,689.99 ","$1,652.33 "
